date,open,high,low,close,volume
27/03/2017,33.0361,33.4698,32.8536,33.3893,94300376
28/03/2017,33.3964,34.1382,33.3276,34.0813,133499220
29/03/2017,34.0529,34.2448,33.9367,34.1571,116759820
30/03/2017,34.1737,34.2472,34.0102,34.1121,84829008
31/03/2017,34.0623,34.1927,33.8941,34.0481,78646604
03/04/2017,34.06,34.1571,33.9036,34.0576,79942856
04/04/2017,33.951,34.3396,33.932,34.3112,79565416
05/04/2017,34.1808,34.4747,34.0837,34.1334,110871416
06/04/2017,34.1974,34.2519,33.9984,34.0481,84596136
07/04/2017,34.0647,34.1714,33.9557,33.9723,66634172
10/04/2017,34.0339,34.1001,33.868,33.932,75733588
11/04/2017,33.8775,33.9747,33.1949,33.567,121517504
12/04/2017,33.5599,33.6902,33.4201,33.6073,81400000
13/04/2017,33.6334,33.7448,33.4295,33.4295,71291520
17/04/2017,33.5315,33.6263,33.3869,33.6144,66328376
18/04/2017,33.5149,33.6642,33.4438,33.4651,58790176
19/04/2017,33.6263,33.6547,33.2873,33.3419,69313500
20/04/2017,33.4698,33.8727,33.4556,33.759,93278248
21/04/2017,33.759,33.8159,33.6191,33.7187,69283712
24/04/2017,34.0102,34.1169,33.9344,34.0434,68466396
25/04/2017,34.1074,34.342,34.0979,34.2543,75486004
26/04/2017,34.2401,34.2709,33.9809,34.0529,80164964
27/04/2017,34.1103,34.1666,33.9652,34.0789,56985388
28/04/2017,34.15,34.1998,33.9557,34.0458,83441432
01/05/2017,34.3894,34.8871,34.3562,34.7402,134411772
02/05/2017,34.9677,35.0981,34.8018,34.9606,181408776
03/05/2017,34.5055,34.9559,34.1927,34.8539,182788136
04/05/2017,34.726,34.8729,34.5577,34.7283,93487488
05/05/2017,34.7828,35.309,34.7828,35.3043,109310900
08/05/2017,35.3208,36.4277,35.3208,36.2641,195009652
09/05/2017,36.4679,36.7073,36.3684,36.4964,156521452
10/05/2017,36.4111,36.4845,36.0508,36.3234,103222768
11/05/2017,36.2793,36.6648,36.2459,36.6362,109020232
12/05/2017,36.8147,37.224,36.8076,37.1479,130108068
15/05/2017,37.1264,37.2788,36.898,37.0527,104038876
16/05/2017,37.1098,37.1383,36.8195,36.9979,80193912
17/05/2017,36.5529,36.7838,35.6272,35.7557,203070712
18/05/2017,35.9984,36.4911,35.9651,36.3007,134272860
19/05/2017,36.5006,36.6434,36.3221,36.4244,107843152
22/05/2017,36.6481,36.7861,36.3887,36.6457,91865748
23/05/2017,36.8623,36.8623,36.4839,36.6005,79675484
24/05/2017,36.61,36.6886,36.3316,36.4911,76876616
25/05/2017,36.5839,36.7314,36.4173,36.6172,76942392
26/05/2017,36.6481,36.7052,36.4839,36.5553,87710548
30/05/2017,36.5101,36.7504,36.4887,36.5696,80507404
31/05/2017,36.641,36.6886,36.2626,36.353,97804656
01/06/2017,36.4506,36.4887,36.2245,36.453,65616352
02/06/2017,36.5482,36.9932,36.384,36.9932,111082860
05/06/2017,36.729,36.7552,36.5196,36.6315,101326648
06/06/2017,36.6243,37.0789,36.5958,36.7552,106499704
07/06/2017,36.8909,37.1193,36.7623,36.9741,84278588
08/06/2017,36.9456,37.0146,36.7433,36.8837,85003192
09/06/2017,36.9313,36.9313,34.7491,35.4535,259530628
12/06/2017,34.6824,34.7657,33.9138,34.6063,289229320
13/06/2017,35.0204,35.0894,34.542,34.8847,136661780
14/06/2017,35.1013,35.1013,34.2303,34.5444,126124928
15/06/2017,34.1065,34.3825,33.8424,34.3374,128661492
16/06/2017,34.216,34.3874,33.84,33.8567,201444372
19/06/2017,34.1875,34.9204,34.1875,34.8252,130165616
20/06/2017,34.9514,34.9514,34.4921,34.5087,99600292
21/06/2017,34.6301,34.7608,34.4135,34.7134,85063004
22/06/2017,34.6896,34.9109,34.5349,34.6563,76425176
