date,open,high,low,close,volume
27/03/2017,60.8893,61.4451,60.6255,61.3321,18614662
28/03/2017,61.2002,61.6807,60.9081,61.5111,20080358
29/03/2017,61.3509,61.7089,61.1884,61.6807,13618424
30/03/2017,61.6336,62.1612,61.577,61.9068,15122823
31/03/2017,61.8503,62.359,61.6618,62.0481,21040331
03/04/2017,62.001,62.1235,61.4169,61.756,20400871
04/04/2017,61.6053,62.001,61.5017,61.9256,12997449
05/04/2017,62.4626,62.5097,61.6565,61.7655,21448594
06/04/2017,61.8031,62.2318,61.6901,61.9256,18103453
07/04/2017,62.0387,62.1423,61.6524,61.8785,14089274
10/04/2017,61.8126,62.0104,61.577,61.7372,17952742
11/04/2017,61.8031,61.8126,61.0966,61.6901,18791533
12/04/2017,61.6336,61.7184,61.3415,61.4546,17108513
13/04/2017,61.5111,62.0481,61.1908,61.1908,17896483
17/04/2017,61.2756,61.6995,61.2473,61.6901,16689265
18/04/2017,61.5488,61.9068,61.3886,61.6053,15155611
19/04/2017,61.8503,61.9445,61.1342,61.2756,26992771
20/04/2017,61.6713,61.9445,61.3698,61.7089,22299477
21/04/2017,61.8691,62.8395,61.6618,62.5568,32522645
24/04/2017,63.5743,63.7439,63.2163,63.6214,29721254
25/04/2017,63.97,64.1019,63.6874,63.9889,30242730
26/04/2017,64.1396,64.3563,63.7062,63.9041,26190770
27/04/2017,64.2056,64.4222,63.6685,64.3186,34970953
28/04/2017,64.9216,65.1383,63.7722,64.4976,39548818
01/05/2017,64.7049,65.5245,64.5353,65.3926,31954362
02/05/2017,65.6753,65.6753,65.1288,65.289,23906119
03/05/2017,65.3644,65.3644,64.7331,65.0817,28927973
04/05/2017,65.0346,65.0817,64.6672,64.8274,21749409
05/05/2017,64.9121,65.0346,64.5212,65.0064,19128782
08/05/2017,64.9781,65.0535,64.4599,64.9498,18566087
09/05/2017,64.8745,65.2702,64.7049,65.044,22858414
10/05/2017,64.9969,65.5339,64.931,65.2984,17977830
11/05/2017,64.4034,64.752,64.1773,64.4976,28789413
12/05/2017,64.6389,64.6389,64.1019,64.4222,18714123
15/05/2017,64.1961,64.5165,63.6591,64.4694,31530301
16/05/2017,64.6421,65.7885,64.5758,65.7601,34956038
17/05/2017,65.2674,65.4664,63.8842,63.9315,30548781
18/05/2017,63.8558,64.5474,63.6094,64.1495,25201274
19/05/2017,63.9505,64.5142,63.8842,64.1305,26961119
22/05/2017,64.32,64.8979,63.9505,64.8505,16237550
23/05/2017,65.1063,65.1348,64.7842,65.0684,15425824
24/05/2017,65.2485,65.2579,64.8505,65.1537,14666865
25/05/2017,65.3432,66.2053,65.2863,65.959,21854095
26/05/2017,66.1295,66.5275,65.8643,66.2811,19827923
30/05/2017,66.1201,66.7075,66.1011,66.7075,17072838
31/05/2017,66.8212,67.0201,66.139,66.1674,30436364
01/06/2017,66.5464,66.897,65.7989,66.4138,21603601
02/06/2017,66.7359,68.0812,66.5464,67.9865,34770261
05/06/2017,68.1854,69.0571,68.0339,68.4791,33316760
06/06/2017,68.4981,68.8013,68.4697,68.7065,31511065
07/06/2017,68.8155,68.9434,68.1665,68.5834,22301765
08/06/2017,68.697,68.7065,67.7402,68.1665,24588270
09/06/2017,68.247,68.2897,64.9832,66.6222,49187396
12/06/2017,65.6085,66.2622,64.5474,66.1106,47761743
13/06/2017,66.338,67.0959,66.2811,66.9349,25258614
14/06/2017,67.1812,67.3612,65.779,66.5748,25510685
15/06/2017,65.6274,66.518,65.1821,66.2243,26068709
16/06/2017,66.0632,66.3429,65.58,66.319,48345085
19/06/2017,66.7927,67.2143,66.6506,67.1433,23798268
20/06/2017,67.0959,67.1433,66.1959,66.2338,21512231
21/06/2017,66.518,66.9064,66.2622,66.5748,19891051
22/06/2017,66.8306,66.878,66.0443,66.5654,22965738
23/06/2017,66.4043,67.5033,66.2432,67.4654,27617291
26/06/2017,67.6454,67.9391,66.7406,66.8212,19606974
27/06/2017,66.4232,66.4896,65.5422,65.5706,25215128
28/06/2017,65.5706,66.1684,65.1727,66.1295,25806200
29/06/2017,65.7316,65.8359,64.5095,64.8884,28918715
30/06/2017,65.1632,65.7316,65.1253,65.3053,24161068
03/07/2017,65.6843,65.9401,64.4431,64.5853,16165500
05/07/2017,64.6658,65.7885,64.6326,65.4474,21176272
06/07/2017,64.68,65.1632,64.5379,64.9642,21117572
07/07/2017,65.0874,66.1674,65.0874,65.8074,16878317
10/07/2017,65.8074,66.5559,65.5611,66.3001,15014503
11/07/2017,66.319,66.9633,66.0822,66.3096,17460022
12/07/2017,66.9727,67.5317,66.8401,67.4086,17750925
13/07/2017,67.7402,68.2517,67.5601,67.996,20269816
14/07/2017,68.4412,69.4171,68.176,68.9528,25868086
17/07/2017,68.9718,69.5876,68.896,69.4929,21803907
18/07/2017,69.2465,69.5308,68.8392,69.4455,26435296
19/07/2017,69.635,70.1466,69.5876,69.9761,22416222
20/07/2017,70.2792,70.3929,69.4266,70.3171,42361025
21/07/2017,69.5876,70.3834,69.3223,69.9097,46717082
24/07/2017,69.6634,69.8718,69.2844,69.7297,21394826
25/07/2017,69.9192,70.4024,69.635,70.2887,22018681
26/07/2017,70.4308,70.4687,69.9287,70.1561,16252233
27/07/2017,69.8813,70.5066,68.517,69.3129,36844220
28/07/2017,68.8486,69.455,68.7255,69.1992,18306680
31/07/2017,69.4455,69.5781,68.6023,68.8771,23600054
01/08/2017,69.256,69.5592,68.6781,68.7634,20823890
02/08/2017,68.7349,68.7444,67.688,68.4602,26499158
03/08/2017,68.3939,68.6307,68.067,68.356,18214424
04/08/2017,68.5928,69.1992,68.4412,68.8581,22578952
07/08/2017,68.9718,69.0665,68.4602,68.5928,18705681
08/08/2017,68.2991,69.2844,67.977,68.9623,22044587
09/08/2017,68.4507,68.697,68.2612,68.6591,22213410
10/08/2017,68.1191,68.3939,67.598,67.6549,24734461
11/08/2017,67.8444,68.8771,67.5317,68.6876,21443675
14/08/2017,69.2181,69.8434,69.1139,69.7203,20096592
15/08/2017,70.0916,70.0916,69.5678,69.7392,19181402
16/08/2017,69.8535,70.5774,69.6916,70.1488,18150402
