products_thous_dollars,2020,2019,2018,2017
iphone,137781,142381,166699,141319
mac,28622,25740,25484,25850
ipad,23724,21280,18805,19222
"wearables, home and accessories",30620,24291,17417,12863
services,53768,46291,37190,29980
